
[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
RecVAE_watchstep_exp2
After filtering
============================================
5154471 events from 31360 users & 6807 movies
sparsity: 2.415%
Before shuffling
================
Index([    11,     14,     18,     25,     31,     35,     43,     50,     58,
           60,
       ...
       138459, 138461, 138470, 138471, 138472, 138473, 138475, 138486, 138492,
       138493],
      dtype='int64', name='user', length=31360)
After shuffling
================
Index([ 81259,  11986,  67552, 127325, 115853,   5192,  93410, 124003,    422,
       115657,
       ...
        27377,  96934,  49486,  52439,  94582, 131351,  23478,   3671,  69383,
       103755],
      dtype='int64', name='user', length=31360)
# of all users: 31360
# of train users: 25360
# of validation users: 3000
# of test users: 3000
0 users sampled
1000 users sampled
2000 users sampled
0 users sampled
1000 users sampled
2000 users sampled
epoch 154 | valid ndcg@100: 0.4681 | best valid: 0.4700 | train ndcg@100: 0.7655
epoch 155 | valid ndcg@100: 0.4677 | best valid: 0.4700 | train ndcg@100: 0.7654
epoch 156 | valid ndcg@100: 0.4679 | best valid: 0.4700 | train ndcg@100: 0.7665
epoch 157 | valid ndcg@100: 0.4674 | best valid: 0.4700 | train ndcg@100: 0.7667
epoch 158 | valid ndcg@100: 0.4676 | best valid: 0.4700 | train ndcg@100: 0.7673
epoch 159 | valid ndcg@100: 0.4680 | best valid: 0.4700 | train ndcg@100: 0.7677
epoch 160 | valid ndcg@100: 0.4677 | best valid: 0.4700 | train ndcg@100: 0.7685
epoch 161 | valid ndcg@100: 0.4678 | best valid: 0.4700 | train ndcg@100: 0.7686
epoch 162 | valid ndcg@100: 0.4683 | best valid: 0.4700 | train ndcg@100: 0.7689
epoch 163 | valid ndcg@100: 0.4679 | best valid: 0.4700 | train ndcg@100: 0.7692
epoch 164 | valid ndcg@100: 0.4672 | best valid: 0.4700 | train ndcg@100: 0.7699
epoch 165 | valid ndcg@100: 0.4674 | best valid: 0.4700 | train ndcg@100: 0.7703
epoch 166 | valid ndcg@100: 0.4675 | best valid: 0.4700 | train ndcg@100: 0.7704
epoch 167 | valid ndcg@100: 0.4672 | best valid: 0.4700 | train ndcg@100: 0.7707
epoch 168 | valid ndcg@100: 0.4669 | best valid: 0.4700 | train ndcg@100: 0.7707
epoch 169 | valid ndcg@100: 0.4664 | best valid: 0.4700 | train ndcg@100: 0.7713
epoch 170 | valid ndcg@100: 0.4675 | best valid: 0.4700 | train ndcg@100: 0.7720
epoch 171 | valid ndcg@100: 0.4664 | best valid: 0.4700 | train ndcg@100: 0.7714
epoch 172 | valid ndcg@100: 0.4666 | best valid: 0.4700 | train ndcg@100: 0.7717
epoch 173 | valid ndcg@100: 0.4671 | best valid: 0.4700 | train ndcg@100: 0.7719
epoch 174 | valid ndcg@100: 0.4665 | best valid: 0.4700 | train ndcg@100: 0.7722
epoch 175 | valid ndcg@100: 0.4668 | best valid: 0.4700 | train ndcg@100: 0.7722
epoch 176 | valid ndcg@100: 0.4667 | best valid: 0.4700 | train ndcg@100: 0.7726
epoch 177 | valid ndcg@100: 0.4672 | best valid: 0.4700 | train ndcg@100: 0.7725
epoch 178 | valid ndcg@100: 0.4663 | best valid: 0.4700 | train ndcg@100: 0.7723
epoch 179 | valid ndcg@100: 0.4661 | best valid: 0.4700 | train ndcg@100: 0.7727
epoch 180 | valid ndcg@100: 0.4664 | best valid: 0.4700 | train ndcg@100: 0.7727
epoch 181 | valid ndcg@100: 0.4667 | best valid: 0.4700 | train ndcg@100: 0.7728
epoch 182 | valid ndcg@100: 0.4659 | best valid: 0.4700 | train ndcg@100: 0.7727
epoch 183 | valid ndcg@100: 0.4664 | best valid: 0.4700 | train ndcg@100: 0.7729
epoch 184 | valid ndcg@100: 0.4661 | best valid: 0.4700 | train ndcg@100: 0.7724
epoch 185 | valid ndcg@100: 0.4665 | best valid: 0.4700 | train ndcg@100: 0.7720
